,x,y
0,-2.0,4.566349037976212
1,-1.9995999599959997,4.553958239376204
2,-1.9991999199919992,4.539836944158133
3,-1.998799879987999,4.576585375260156
4,-1.9983998399839984,4.574317342749624
5,-1.997999799979998,4.618943433997228
6,-1.9975997599759976,4.556025157200235
7,-1.9971997199719973,4.572994542758671
8,-1.9967996799679968,4.549421436336665
9,-1.9963996399639965,4.609931818921288
10,-1.995999599959996,4.604934167431776
11,-1.9955995599559957,4.527299334191796
12,-1.9951995199519952,4.580890121897511
13,-1.994799479947995,4.592099925445128
14,-1.9943994399439944,4.500085278042227
15,-1.993999399939994,4.573215932001595
16,-1.9935993599359936,4.542995812329256
17,-1.9931993199319933,4.570288598519862
18,-1.9927992799279928,4.500730787252872
19,-1.9923992399239925,4.530484830924568
20,-1.991999199919992,4.5630713772763976
21,-1.9915991599159917,4.524553554276855
22,-1.9911991199119912,4.539144896576255
23,-1.9907990799079909,4.517057376471018
24,-1.9903990399039904,4.482866283649935
25,-1.98999899989999,4.490689165940784
26,-1.9895989598959896,4.460856066048282
27,-1.9891989198919893,4.542643472663846
28,-1.9887988798879888,4.470603673106796
29,-1.9883988398839885,4.453879871839826
30,-1.987998799879988,4.494313338848766
31,-1.9875987598759877,4.5265911813820505
32,-1.9871987198719872,4.468642899031243
33,-1.9867986798679869,4.487624961630538
34,-1.9863986398639863,4.526117147437589
35,-1.985998599859986,4.503352547772264
36,-1.9855985598559855,4.509388207595179
37,-1.9851985198519853,4.466243508150331
38,-1.9847984798479847,4.423748673259101
39,-1.9843984398439845,4.4572692226094
40,-1.983998399839984,4.412381454126706
41,-1.9835983598359836,4.442781284633625
42,-1.9831983198319831,4.411249435371463
43,-1.9827982798279828,4.471962396308023
44,-1.9823982398239823,4.475536450338701
45,-1.981998199819982,4.4263536564638954
46,-1.9815981598159815,4.442285892156056
47,-1.9811981198119812,4.422503608372824
48,-1.9807980798079807,4.421342349290802
49,-1.9803980398039804,4.464948417746212
50,-1.97999799979998,4.384810836005502
51,-1.9795979597959796,4.418409377149972
52,-1.9791979197919791,4.376853667995912
53,-1.9787978797879788,4.457908582544237
54,-1.9783978397839783,4.45403867835767
55,-1.977997799779978,4.422395625912421
56,-1.9775977597759775,4.381942896259336
57,-1.9771977197719772,4.401837641810694
58,-1.9767976797679767,4.438767082928209
59,-1.9763976397639764,4.382785684505179
60,-1.975997599759976,4.430189958257049
61,-1.9755975597559756,4.416035024088871
62,-1.975197519751975,4.393425002577527
63,-1.9747974797479748,4.353692195180899
64,-1.9743974397439743,4.380656850431211
65,-1.973997399739974,4.399100748860295
66,-1.9735973597359735,4.387456034395794
67,-1.9731973197319732,4.389186470545875
68,-1.9727972797279727,4.400087749874407
69,-1.9723972397239724,4.37050513971103
70,-1.971997199719972,4.382682239688845
71,-1.9715971597159716,4.35917621591105
72,-1.971197119711971,4.369570936162496
73,-1.9707970797079708,4.336418368683123
74,-1.9703970397039703,4.345108361031869
75,-1.96999699969997,4.370077643173484
76,-1.9695969596959695,4.355009480761544
77,-1.9691969196919692,4.361807075353348
78,-1.968796879687969,4.351403376080129
79,-1.9683968396839684,4.297381122705722
80,-1.967996799679968,4.328697637937986
81,-1.9675967596759676,4.337795300981616
82,-1.9671967196719673,4.316903844677653
83,-1.9667966796679668,4.2822026590525475
84,-1.9663966396639665,4.356416796786264
85,-1.965996599659966,4.292205476211625
86,-1.9655965596559657,4.303764459988415
87,-1.9651965196519652,4.276009284404002
88,-1.9647964796479649,4.342708849342726
89,-1.9643964396439644,4.252326188634454
90,-1.963996399639964,4.247639894864483
